location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total,Sunshine Duration
unit,°C,mm,%,km/h,°,%,min
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total,Basel Sunshine Duration
20220101T0000,5.5602455,0.0,94.83262,4.32,180.0,3.0,0.0
20220101T0100,4.630245,0.0,96.47203,3.2599385,173.6598,0.3,0.0
20220101T0200,3.6602454,0.0,97.1187,3.5455887,156.0375,1.2,0.0
20220101T0300,3.8802452,0.0,96.16575,3.671294,168.69006,1.0,0.0
20220101T0400,3.6502452,0.0,96.980194,4.3498964,155.55605,1.0,0.0
20220101T0500,3.1102452,0.0,97.79321,5.1919937,146.30994,25.0,0.0
20220101T0600,2.7302456,0.0,98.201126,5.3999996,143.1301,13.500001,0.0
20220101T0700,2.5102453,0.0,98.19411,5.3517847,137.72632,25.0,0.0
20220101T0800,2.4402454,0.0,97.83999,5.495161,148.3925,25.0,32.203705
20220101T0900,4.2502456,0.0,95.36762,6.638072,167.47119,25.0,44.848488
20220101T1000,6.5302453,0.0,92.20724,5.8048253,150.25511,25.0,44.848488
20220101T1100,8.290245,0.0,88.76688,6.439876,153.43495,17.7,49.272724
20220101T1200,10.090245,0.0,83.10312,5.95906,154.98311,10.5,53.63636
20220101T1300,11.3102455,0.0,79.97462,5.991594,147.26477,3.9,57.63636
20220101T1400,12.100245,0.0,77.46256,5.692099,145.30484,9.3,54.363636
20220101T1500,10.530245,0.0,84.3071,6.28713,156.37062,0.90000004,59.454544
20220101T1600,7.3002453,0.0,93.68196,5.6920996,161.56505,0.90000004,50.156513
20220101T1700,5.9902453,0.0,95.78908,6.0347,162.64597,1.8000001,0.0
20220101T1800,5.8002453,0.0,95.445526,5.937272,165.96376,1.2,0.0
20220101T1900,5.170245,0.0,94.87827,5.315336,151.69923,2.1000001,0.0
20220101T2000,4.4902453,0.0,95.85379,5.495161,148.3925,5.1000004,0.0
20220101T2100,3.9102454,0.0,95.96225,5.495161,148.3925,12.0,0.0
20220101T2200,3.5702453,0.0,98.1573,6.193674,144.46231,39.0,0.0
20220101T2300,3.4202452,0.0,98.012985,6.6087217,150.64224,22.0,0.0
20220102T0000,2.8802452,0.0,97.087776,6.28713,156.37062,16.5,0.0
20220102T0100,3.0202456,0.0,96.885254,6.379216,163.61046,19.0,0.0
20220102T0200,2.3602452,0.0,97.48621,6.379216,163.61046,10.5,0.0
20220102T0300,2.3102455,0.0,96.64618,7.24486,153.43495,25.500002,0.0
20220102T0400,2.3802454,0.0,96.09441,8.0899935,147.72435,27.300001,0.0
20220102T0500,2.4202454,0.0,95.54446,8.435069,140.19443,30.000002,0.0
20220102T0600,2.5802455,0.0,95.07294,7.653705,138.81407,29.7,0.0
20220102T0700,2.9402456,0.0,91.53713,7.10031,149.53445,28.800001,0.0
20220102T0800,3.5602455,0.0,88.35643,6.9527545,158.7495,42.0,24.86313
20220102T0900,5.0602455,0.0,83.72151,6.924738,171.02737,60.0,23.636362
20220102T1000,6.540245,0.0,81.80693,11.159999,180.0,27.900002,43.090904
20220102T1100,8.340245,0.0,74.79823,11.966954,195.70863,75.0,14.545455
20220102T1200,9.950245,0.0,69.920204,10.661107,191.68936,29.1,42.363636
20220102T1300,11.590245,0.0,67.956375,10.365251,200.32314,23.7,45.636364
